GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JMXTrans - core,org.jmxtrans.core.results,QueryResultValueComparator,16,33,2,8,1,8,2,5,0,2
JMXTrans - core,org.jmxtrans.core.results,QueryResult,19,191,14,18,0,14,11,15,0,10
JMXTrans - core,org.jmxtrans.core.results,QueryResultTimeComparator,0,24,0,6,0,5,0,5,0,2
JMXTrans - core,org.jmxtrans.core.config,DefaultConfiguration,0,22,0,0,0,8,0,7,0,7
JMXTrans - core,org.jmxtrans.core.config,StandardConfiguration,0,94,0,6,0,22,0,8,0,5
JMXTrans - core,org.jmxtrans.core.config,ThreadPoolExecutorMetrics,0,47,0,0,0,12,0,10,0,10
JMXTrans - core,org.jmxtrans.core.config,ModifiableConfiguration,0,46,0,2,0,9,0,8,0,7
JMXTrans - core,org.jmxtrans.core.config,JmxtransConfigurationException,0,9,0,0,0,4,0,2,0,2
JMXTrans - core,org.jmxtrans.core.config,XmlConfigParser,65,478,11,33,4,84,9,26,0,13
JMXTrans - core,org.jmxtrans.core.config,ConfigurationMerger,0,102,0,8,0,24,0,9,0,5
JMXTrans - core,org.jmxtrans.core.config,PropertyPlaceholderResolverXmlPreprocessor,0,71,0,9,0,20,0,8,0,3
JMXTrans - core,org.jmxtrans.core.config,JmxTransBuilder,14,317,1,17,2,56,1,16,0,8
JMXTrans - core,org.jmxtrans.core.query,ResultNameStrategy,9,235,3,9,3,46,3,9,0,6
JMXTrans - core,org.jmxtrans.core.query,QueryMetrics,12,38,0,0,3,9,3,4,3,4
JMXTrans - core,org.jmxtrans.core.query,Invocation,190,97,25,11,10,10,21,3,3,3
JMXTrans - core,org.jmxtrans.core.query,Query,111,325,25,25,7,36,25,15,5,10
JMXTrans - core,org.jmxtrans.core.query,QueryAttribute,114,357,29,33,4,39,23,20,0,12
JMXTrans - core,org.jmxtrans.core.query,RemoteServer,84,41,14,2,16,11,12,4,4,4
JMXTrans - core,org.jmxtrans.core.query,InProcessServer,2,11,0,0,1,5,1,3,1,3
JMXTrans - core,org.jmxtrans.core.query,RemoteServer.Builder,0,116,0,4,0,22,0,12,0,10
JMXTrans - core,org.jmxtrans.core.query,Query.Builder,28,102,1,1,5,22,2,9,1,9
JMXTrans - core,org.jmxtrans.core.query,QueryAttribute.Builder,3,61,2,2,1,15,2,6,0,6
JMXTrans - core,org.jmxtrans.core.circuitbreaker,CircuitBreakerProxy,15,179,1,13,1,40,1,12,0,6
JMXTrans - core,org.jmxtrans.core.circuitbreaker,CircuitBreakerOpenException,0,29,0,0,0,6,0,3,0,3
JMXTrans - core,org.jmxtrans.core.template,ExpressionEvaluator,32,29,1,1,5,8,1,3,0,3
JMXTrans - core,org.jmxtrans.core.template,TemplateEngine.Builder,5,47,0,2,2,9,1,5,1,4
JMXTrans - core,org.jmxtrans.core.template,StaticExpression,0,9,0,0,0,4,0,2,0,2
JMXTrans - core,org.jmxtrans.core.template,KeepAlphaNumericAndDots,9,43,5,11,0,9,3,7,0,2
JMXTrans - core,org.jmxtrans.core.template,KeepAlphaNumeric,9,40,5,9,0,9,3,6,0,2
JMXTrans - core,org.jmxtrans.core.template,TemplateEngine,24,104,1,5,1,25,1,5,0,3
