GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JMXTrans - utils,org.jmxtrans.utils,Preconditions2,20,28,5,5,8,9,5,5,2,3
JMXTrans - utils,org.jmxtrans.utils,ConfigurationUtils,3,146,0,10,2,26,1,11,1,6
JMXTrans - utils,org.jmxtrans.utils,PropertyPlaceholderResolver,34,123,7,13,6,30,7,6,0,3
JMXTrans - utils,org.jmxtrans.utils,StringUtils2,8,168,3,31,4,40,5,18,2,4
JMXTrans - utils,org.jmxtrans.utils.appinfo,AppInfo,30,145,6,2,0,26,4,7,0,7
JMXTrans - utils,org.jmxtrans.utils.appinfo,GitRepositoryState,36,141,6,2,2,31,6,13,2,13
JMXTrans - utils,org.jmxtrans.utils.concurrent,DiscardingBlockingQueue,26,60,1,5,5,19,4,9,3,7
JMXTrans - utils,org.jmxtrans.utils.concurrent,NamedThreadFactory,0,41,0,0,0,10,0,2,0,2
JMXTrans - utils,org.jmxtrans.utils.time,Interval,25,68,2,8,2,11,4,8,2,5
JMXTrans - utils,org.jmxtrans.utils.time,NanoChronometer,0,24,0,0,0,7,0,2,0,2
JMXTrans - utils,org.jmxtrans.utils.time,SystemClock,7,0,0,0,3,0,3,0,3,0
JMXTrans - utils,org.jmxtrans.utils.time,ManualClock,0,53,0,0,0,11,0,5,0,5
JMXTrans - utils,org.jmxtrans.utils.io,StandardResource,3,85,2,8,1,16,3,8,1,5
JMXTrans - utils,org.jmxtrans.utils.io,FileResource,0,16,0,0,0,5,0,3,0,3
JMXTrans - utils,org.jmxtrans.utils.io,IoUtils,17,68,7,9,4,15,6,5,1,2
JMXTrans - utils,org.jmxtrans.utils.io,NullOutputStream,0,4,0,0,0,2,0,2,0,2
JMXTrans - utils,org.jmxtrans.utils.collections,ArrayUtils,3,28,0,6,2,6,1,4,1,1
JMXTrans - utils,org.jmxtrans.utils.collections,Iterables2,3,63,0,8,2,12,1,5,1,1
